business_id,name,address,city,state,zip_code,phone,categories,rating,review_count,price,latitude,longitude,url,review_count_from_reviews,sentiment
zcEswfjucV8Sey4C6Yk6xA,A Pampered Auto,"Clearwater, FL 33759",Clearwater,FL,33759,(727) 688-5824,Auto Detailing,5.0,32,,27.98074912801103,-82.71472484946673,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
zFdCktZBLUAAuYTqlktWbg,Roman Mobile Car Care,"2625 Alexander Pl Clearwater, FL 33763",Clearwater,FL,33763,(727) 902-1969,"Auto Detailing, Car Wash",5.0,33,,28.017892147596257,-82.74315376168136,https://www.yelp.com/biz/roman-mobile-car-care-clearwater?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
CCB5h7sL5QAZ-AnujSOYhw,Detail Depot,"1694 Clearwater Largo Rd N Clearwater, FL 33756",Clearwater,FL,33756,(727) 642-6191,"Auto Detailing, Home Window Tinting",4.9,38,,27.93590031459773,-82.79599357287087,https://www.yelp.com/biz/detail-depot-clearwater-2?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
T8l8efvT8uKrNosRCOYx6A,Luxury Auto Spa,"3166 Tampa Rd Ste 9 Oldsmar, FL 34677",Oldsmar,FL,34677,(727) 560-3069,"Auto Detailing, Car Wash",4.7,36,,28.05001207744153,-82.69701121021048,https://www.yelp.com/biz/luxury-auto-spa-oldsmar?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
sW4ULYISNTLJx6sHw6xC6g,Evolution Mobile Detailing,"1705 6th St E Palmetto, FL 34221",Palmetto,FL,34221,(720) 935-7405,Auto Detailing,4.9,39,,27.51619511408325,-82.5461926,https://www.yelp.com/biz/evolution-mobile-detailing-palmetto-2?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
kd8Cc48oqsH7cg8eIqE2Ew,Elite Car Care Auto Detailing,"9161 131st Pl Unit C Largo, FL 33773",Largo,FL,33773,(727) 351-7055,Auto Detailing,5.0,21,,27.8924714,-82.7647544,https://www.yelp.com/biz/elite-car-care-auto-detailing-largo-2?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
VqZELPgz27CM8djAcPzqKA,Mills Prime Shine,"7011 Massachusetts Ave New Port Richey, FL 34653",New Port Richey,FL,34653,(352) 679-8498,Auto Detailing,5.0,1,,28.259182751654475,-82.69823749999999,https://www.yelp.com/biz/mills-prime-shine-new-port-richey-9?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,1,Positivo
h3H0sK4zwRfk-ooJg3PXLQ,CleanPro Automotive Detailing,"8739 State Rd Ste 52 Hudson, FL 34667",Hudson,FL,34667,(352) 667-1844,"Auto Detailing, Car Wash",5.0,4,,28.331672328524824,-82.67009112640966,https://www.yelp.com/biz/cleanpro-automotive-detailing-hudson?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,4,Positivo
NksQhI3CJe4ZeLv5AKSj5Q,Elite Auto Salon,"8009 Benjamin Rd Ste 107 Tampa, FL 33634",Tampa,FL,33634,(813) 345-4400,Auto Detailing,4.6,49,,28.0226,-82.54148,https://www.yelp.com/biz/elite-auto-salon-tampa-2?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
kVrwEXM4Uvd-QzxLSuy83w,Top Dog Mobile Detailing South,"Land O'lakes, FL 34637",Land O'lakes,FL,34637,(401) 644-5370,Auto Detailing,4.9,24,,28.290178,-82.4644445,https://www.yelp.com/biz/top-dog-mobile-detailing-south-land-o-lakes?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,7,Positivo
